precision,recall,threshold
0.9375650364203955,1.0,0.21372753
0.9376260162601626,1.0,0.23651856
0.9376219591518148,0.9999306326304107,0.28182536
0.9376829506277239,0.9999306326304107,0.28396633
0.9376788966952901,0.9998612652608213,0.28812182
0.937739899811333,0.9998612652608213,0.3013462
0.9377358490566038,0.999791897891232,0.3019734
0.9377968638167741,0.999791897891232,0.30958986
0.9378578865174388,0.999791897891232,0.31711444
0.9379189171601484,0.999791897891232,0.3229195
0.9379799557464532,0.999791897891232,0.32555744
0.9379759192971038,0.9997225305216426,0.32802796
0.9380369695391825,0.9997225305216426,0.33360898
0.9380980277289592,0.9997225305216426,0.33385623
0.9381590938679859,0.9997225305216426,0.34598732
0.9383914034516444,0.9995144284128746,0.35140067
0.9383873909079067,0.9994450610432852,0.3534328
0.9383833778414642,0.9993756936736959,0.36003882
0.9384445023449713,0.9993756936736959,0.36346975
0.9385056348120644,0.9993756936736959,0.36778533
0.9385667752442997,0.9993756936736959,0.3713159
0.9386279236432341,0.9993756936736959,0.37217015
0.9386239249413605,0.9993063263041065,0.3726367
0.9386850850329055,0.9993063263041065,0.37270004
0.9386810895347322,0.9992369589345172,0.3792116
0.9386770935158032,0.9991675915649278,0.38357916
0.9388526727509778,0.9990288568257492,0.3851451
0.9389138796531716,0.9990288568257492,0.38533047
0.9389098969878733,0.9989594894561599,0.38535014
0.9389711156027907,0.9989594894561599,0.38679257
0.9390323422013563,0.9989594894561599,0.38715687
0.9390935767851321,0.9989594894561599,0.3878899
0.9391548193556802,0.9989594894561599,0.39307564
0.9391508511054588,0.9988901220865705,0.39360842
0.9392121054004696,0.9988901220865705,0.39388183
0.9392081403691867,0.9988207547169812,0.39476877
0.9392694063926941,0.9988207547169812,0.39505202
0.9392654445821645,0.9987513873473918,0.3991413
0.9392614822546973,0.9986820199778025,0.40136603
0.9393227637502447,0.9986820199778025,0.40297163
0.9393188046457002,0.9986126526082131,0.40389732
0.9393800978792822,0.9986126526082131,0.40496644
0.9393761419994779,0.9985432852386238,0.40499532
0.9394374469751354,0.9985432852386238,0.40680736
0.9394987599530088,0.9985432852386238,0.40892047
0.9394948110436656,0.9984739178690344,0.40923545
0.939556135770235,0.9984739178690344,0.4107092
0.939552190090737,0.9984045504994451,0.41268823
0.9396135265700483,0.9984045504994451,0.41413802
0.9396748710583013,0.9984045504994451,0.41547242
0.9396709323583181,0.9983351831298557,0.41810554
0.9396669931439765,0.9982658157602664,0.4184447
0.9397283531409168,0.9982658157602664,0.41902903
0.9397897211519624,0.9982658157602664,0.41951683
0.9398510971786834,0.9982658157602664,0.42285427
0.9399124812226504,0.9982658157602664,0.42497885
0.9399738732854344,0.9982658157602664,0.4262
0.9399699523156313,0.998196448390677,0.42741814
0.9399660308335511,0.9981270810210877,0.4283114
0.9400274384268635,0.9981270810210877,0.4332988
0.9402340940299484,0.9974334073251943,0.4337505
0.9402955793879153,0.9974334073251943,0.4337599
0.9403570727879145,0.9974334073251943,0.43588245
0.9404185742315239,0.9974334073251943,0.43892282
0.9404146772189156,0.9973640399556049,0.4400883
0.940410779696494,0.9972946725860156,0.44269514
0.9405914682020413,0.9972253052164262,0.4447146
0.9405875809723222,0.9971559378468369,0.44739348
0.9405836932338699,0.9970865704772475,0.44781598
0.9405798049865847,0.9970172031076582,0.44995585
0.9405720269651155,0.9968784683684795,0.45038944
0.940633590784134,0.9968784683684795,0.45447886
0.9406297047849709,0.9968091009988901,0.4549796
0.9406912804399057,0.9968091009988901,0.4584334
0.9407528641571195,0.9968091009988901,0.45903242
0.9408144559381957,0.9968091009988901,0.4594764
0.9408105807634387,0.9967397336293008,0.46161538
0.9408067050811943,0.9966703662597114,0.46439767
0.9408683124877218,0.9966703662597114,0.46447378
0.9408644400785855,0.9966009988901221,0.464802
0.9409260593359093,0.9966009988901221,0.46483165
0.94098768666492,0.9966009988901221,0.46812695
0.9409838213139451,0.9965316315205327,0.4709436
0.9410454605004586,0.9965316315205327,0.47138467
0.9411071077628562,0.9965316315205327,0.47417948
0.9411687631027253,0.9965316315205327,0.47418556
0.9411649086025028,0.9964622641509434,0.4773248
0.9412265758091993,0.9964622641509434,0.47799197
0.9412227245920975,0.996392896781354,0.47803012
0.941218872870249,0.9963235294117647,0.4802805
0.9412805557375975,0.9963235294117647,0.48257017
0.9412767073010879,0.9962541620421753,0.4830339
0.9412690089145255,0.9961154273029966,0.48379335
0.9413307112422157,0.9961154273029966,0.4843135
0.9413924216598925,0.9961154273029966,0.48446625
0.9414541401691471,0.9961154273029966,0.48478016
0.9414503015997902,0.9960460599334073,0.48478988
0.9415120319979018,0.9960460599334073,0.48480433
0.9415737704918032,0.9960460599334073,0.48499587
0.9416355170830875,0.9960460599334073,0.485003
0.9416316894018888,0.9959766925638179,0.48504582
0.9416934478913884,0.9959766925638179,0.4850511
0.9417552144824872,0.9959766925638179,0.48525503
0.9417513938996392,0.9959073251942286,0.48547277
0.9418131723956966,0.9959073251942286,0.4854881
0.9418093551138227,0.9958379578246392,0.48622772
0.9418711455189608,0.9958379578246392,0.48738387
0.9418673315399252,0.99576859045505,0.4882568
0.9419291338582677,0.99576859045505,0.48850533
0.9419909442876829,0.99576859045505,0.48973578
0.9420527628297677,0.99576859045505,0.49051386
0.9420489597689834,0.9956992230854605,0.49075553
0.9420451562089788,0.9956298557158713,0.49259767
0.9421069904824417,0.9956298557158713,0.49274588
0.9421688328738348,0.9956298557158713,0.49280915
0.9422306833847568,0.9956298557158713,0.49320957
0.9422925420168067,0.9956298557158713,0.49331403
