precision,recall,threshold
0.9375650364203955,1.0,0.056863293
0.937560975609756,0.9999306326304107,0.1469417
0.9376219591518148,0.9999306326304107,0.21895428
0.9376829506277239,0.9999306326304107,0.22996852
0.937743950039032,0.9999306326304107,0.24444328
0.9378049573872878,0.9999306326304107,0.24943794
0.937800910865322,0.9998612652608213,0.26169857
0.9378619298588067,0.9998612652608213,0.27618247
0.9379229567933368,0.9998612652608213,0.2882547
0.9379839916704626,0.9998612652608213,0.28983665
0.938045034491735,0.9998612652608213,0.291059
0.9381060852587049,0.9998612652608213,0.29272798
0.9381020567560531,0.999791897891232,0.29782662
0.9381631191824513,0.999791897891232,0.30439106
0.9381590938679859,0.9997225305216426,0.31956643
0.9382201679578153,0.9997225305216426,0.32214043
0.9382161458333333,0.9996531631520533,0.32976174
0.9382121231851032,0.9995837957824639,0.33589876
0.9382732126578982,0.9995837957824639,0.33741167
0.9383343100866055,0.9995837957824639,0.34339502
0.9383954154727794,0.9995837957824639,0.34656802
0.9383914034516444,0.9995144284128746,0.34949332
0.9383873909079067,0.9994450610432852,0.35303745
0.9384485116915261,0.9994450610432852,0.3602849
0.938509640437728,0.9994450610432852,0.36047333
0.9385707771480686,0.9994450610432852,0.3612414
0.9385667752442997,0.9993756936736959,0.36130494
0.9386279236432341,0.9993756936736959,0.3634012
0.9386239249413605,0.9993063263041065,0.36382103
0.9386850850329055,0.9993063263041065,0.36912653
0.9386810895347322,0.9992369589345172,0.36955276
0.9387422613229065,0.9992369589345172,0.370856
0.938803441084463,0.9992369589345172,0.37181476
0.9388646288209607,0.9992369589345172,0.3724181
0.9389258245339591,0.9992369589345172,0.37494063
0.9389870282250179,0.9992369589345172,0.37572992
0.9390482398956975,0.9992369589345172,0.37651822
0.9391094595475585,0.9992369589345172,0.37715498
0.9391054896335898,0.9991675915649278,0.3777923
0.9391667210014997,0.9991675915649278,0.37827528
0.9392279603547209,0.9991675915649278,0.38446036
0.9392892076948158,0.9991675915649278,0.38476843
0.9393504630233468,0.9991675915649278,0.3851753
0.939411726341877,0.9991675915649278,0.3873805
0.9394077745890947,0.9990982241953386,0.3880492
0.9394690496379884,0.9990982241953386,0.38824517
0.9395303326810176,0.9990982241953386,0.3891162
0.9395263878922304,0.9990288568257492,0.39116168
0.9395224425887265,0.9989594894561599,0.39311567
0.9395184967704052,0.9988901220865705,0.3932266
0.9395797990343208,0.9988901220865705,0.3949518
0.9395758564437194,0.9988207547169812,0.39572012
0.9396371704515792,0.9988207547169812,0.39757243
0.9396332310905176,0.9987513873473918,0.402267
0.9396292912152461,0.9986820199778025,0.4036941
0.9396253508256641,0.9986126526082131,0.40924892
0.9396866840731071,0.9986126526082131,0.411305
0.939748025328024,0.9986126526082131,0.41190565
0.939744091918005,0.9985432852386238,0.41264617
0.9398054449304694,0.9985432852386238,0.41489294
0.9398668059545573,0.9985432852386238,0.416243
0.9398628795298727,0.9984739178690344,0.41775128
0.9399242523181403,0.9984739178690344,0.41933346
0.9399856331221838,0.9984739178690344,0.4204737
0.9400470219435737,0.9984739178690344,0.42218855
0.9400431062634708,0.9984045504994451,0.42284626
0.9401045068582625,0.9984045504994451,0.42341775
0.9401659154745574,0.9984045504994451,0.4245076
0.9401620067938333,0.9983351831298557,0.4259723
0.9402234271901744,0.9983351831298557,0.42888403
0.9402195217561741,0.9982658157602664,0.42951626
0.940280953936622,0.9982658157602664,0.42963496
0.9402770517511762,0.998196448390677,0.42990375
0.9403384957197936,0.998196448390677,0.4311018
0.940334596784734,0.9981270810210877,0.4324725
0.9403306973400432,0.9980577136514983,0.4335692
0.9403921568627451,0.9980577136514983,0.43544844
0.9404536244198968,0.9980577136514983,0.43711153
0.9405151000130736,0.9980577136514983,0.4376147
0.9405765836438518,0.9980577136514983,0.4401945
0.9405726987447699,0.997988346281909,0.44139525
0.9406341941811049,0.997988346281909,0.4423775
