,Accuracy,F1,Precision,Recall,ROC AUC,PR AUC
LR,0.7886966701352758,0.8756934613765925,0.9763672041634672,0.7938401775804661,0.8379107848917869,0.9846408208296322
XGB,0.9388657648283039,0.9682475341170113,0.9436397155649197,0.994173140954495,0.8423820537943951,0.984894943092915
NN,0.9389958376690947,0.968432388772969,0.9405151000130736,0.9980577136514983,0.8399656125716797,0.9848415803131445
BRF,0.8386446409989594,0.90825721998299,0.9725984002534253,0.8519006659267481,0.8345963975212726,0.9842339894608374
EEC,0.7860952133194589,0.8738832010429848,0.9770213495670068,0.7904411764705882,0.8378007364502407,0.984735835161955
TAB,0.9386056191467221,0.9681511470985156,0.942459274829217,0.9952830188679245,0.840816880260359,0.985064234257992
